年份,省份,城市,省份代码,城市代码,胡焕庸线,地区生产总值(万元),人均地区生产总值(元),户籍人口(万人),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元)
2000,北京市,北京市,110000,110000,东南侧,24787600,,1107.53,619.27,,33221,406,6639343,16350
2001,北京市,北京市,110000,110000,东南侧,28456500,25542,1122.3,628.9,,50000,406,7772635,19153.86
2002,北京市,北京市,110000,110000,东南侧,32127100,28449,1136.3,679.1,331221,60152,435,9508796,21854.28
2003,北京市,北京市,110000,110000,东南侧,36631000,32061,1148.82,703.28,424509,69589,434,10989365,25312.37
2004,北京市,北京市,110000,110000,东南侧,42833100,37058,1162.89,854.07,1798441,64617,443,13151038,29674.26
2005,北京市,北京市,110000,110000,东南侧,68863101,45444,1180.7,878.05,1884133,105652,445,15200513,34190.73
2006,北京市,北京市,110000,110000,东南侧,78702835,50467,1197.6,513.79,2203385,103986,450,18054937,40116.73
2007,北京市,北京市,110000,110000,东南侧,93533200,58204,1213.26,544.38,3230710,106275,472,21942743,46507.58
2008,北京市,北京市,110000,110000,东南侧,104880500,63029,1299.85,570.26,3600999,103250,506,28474862,56327.86
2009,北京市,北京市,110000,110000,东南侧,121530000,70452,1245.83,619.35,3933230,81550,555,32271711,58139.89
2010,北京市,北京市,110000,110000,东南侧,141135800,75943,1257.8,646.63,4303573,77255,577,37890732,65682.17
2011,北京市,北京市,110000,110000,东南侧,162519300,81658,1277.9,685.9,2699061,81336,630,47786423,75834.61
2012,北京市,北京市,110000,110000,东南侧,178794000,87475,1297.5,717.4,4777795,71982,663,56579220,85306.02
2013,北京市,北京市,110000,110000,东南侧,195005600,93213,1316.3,742.3,6402778,68144,692,65020386,93996.77
2014,北京市,北京市,110000,110000,东南侧,213308300,99995,1333.4,755.86,8285921,74272,705,72933476,103400.41
2015,北京市,北京市,110000,110000,东南侧,230145900,106497,1345.2,777.345,9517309,91593,727,82252242,113073
2016,北京市,北京市,110000,110000,东南侧,256691300,118198,1363,791.52,3798000,91421,729,90005000,122749
2017,北京市,北京市,110000,110000,东南侧,280149400,128994,1359,812.859,3533000,81000,754,101828000,134994
2018,北京市,北京市,110000,110000,东南侧,303199787,140211,1376,819.302,7503000,102400,772,115628115,149843
2019,北京市,北京市,110000,110000,东南侧,353710000,164220,1397,791.298,5514378,93500,729,126272672,173205
2020,北京市,北京市,110000,110000,东南侧,361030000,164889,,739.94,,,687,126927616,185026
2021,北京市,北京市,110000,110000,东南侧,402700000,183980,1414,759.509,,,709,142832359,201504
2022,北京市,北京市,110000,110000,东南侧,416110000,190313,1428,747.057,,,714,153565189,
2023,北京市,北京市,110000,110000,东南侧,437610000,200278,,,,,,,
2024,北京市,北京市,110000,110000,东南侧,498430000,228167,,,,,,,
2000,天津市,天津市,120000,120000,东南侧,16393600,,912,201.75,,105020,196,2444866,12481
2001,天津市,天津市,120000,120000,东南侧,18401000,20155,913.98,192.3,,113980,186,2667267,14307.84
2002,天津市,天津市,120000,120000,东南侧,20511600,22380,919.05,185.5,488552,129000,179,2907250,16257.97
2003,天津市,天津市,120000,120000,东南侧,24476600,26532,926,191.01,920994,120300,174,3254148,18648.41
2004,天津市,天津市,120000,120000,东南侧,29318800,31550,932.55,193.91,1018700,117700,173,3777433,21891.82
2005,天津市,天津市,120000,120000,东南侧,36976200,35783,939.31,194.12,543000,117100,166,4198024,25271.03
2006,天津市,天津市,120000,120000,东南侧,43591500,41163,948.89,195,1165700,116700,170,4874598,28682.54
2007,天津市,天津市,120000,120000,东南侧,50504000,46122,959.1,200.22,1376600,104619,172,6026493,34938.22
2008,天津市,天津市,120000,120000,东南侧,63543800,55473,968.87,200.61,1519100,129900,178,7372335,41394.36
2009,天津市,天津市,120000,120000,东南侧,75218500,62574,979.84,201.65,1790600,150000,183,8234840,45075.48
2010,天津市,天津市,120000,120000,东南侧,92244600,72994,984.85,205.65,2050700,160983,184,9738432,52963.68
2011,天津市,天津市,120000,120000,东南侧,113072800,85213,996.4,268.24,2317100,201100,251,13940238,55636.33
2012,天津市,天津市,120000,120000,东南侧,128938800,93173,993.2,289.1,2482400,204000,234,15288191,65398.43
2013,天津市,天津市,120000,120000,东南侧,143701600,99607,1004,302.4,1775800,216900,285,19613700,68863.49
2014,天津市,天津市,120000,120000,东南侧,157269300,105231,1016.7,299.96,1271234,225236,243,20631400,84833.06
2015,天津市,天津市,120000,120000,东南侧,165381900,107960,1026.9,294.78,1298569,229810,246,20740170,84187
2016,天津市,天津市,120000,120000,东南侧,178853900,115053,1044,286.045,3260400,257700,247,23855100,87806
2017,天津市,天津市,120000,120000,东南侧,185491900,119238,1050,269.478,3364700,260025,231,23167447,96965
2018,天津市,天津市,120000,120000,东南侧,188096400,120711,1082,259.987,2058063,258100,243,25273271,103931
2019,天津市,天津市,120000,120000,东南侧,141040000,90371,1108,269.354,1997733,260900,250,27905678,111602
2020,天津市,天津市,120000,120000,东南侧,140840000,101614,,255.332,,,236,28010941,118918
2021,天津市,天津市,120000,120000,东南侧,156950000,113732,1152,256.445,,,239,30595125,128171
2022,天津市,天津市,120000,120000,东南侧,163110000,119235,1161,243.341,,,213,31106122,
2023,天津市,天津市,120000,120000,东南侧,167370000,122752,,,,,,,
2024,天津市,天津市,120000,120000,东南侧,180240000,132143,,,,,,,
2000,河北省,石家庄市,130000,130100,东南侧,10031119,,889.8,93.54,,14500,93,836114,8972
2001,河北省,石家庄市,130000,130100,东南侧,10854284,12157,895.94,91.47,,23000,91,904191,9965.73
2002,河北省,石家庄市,130000,130100,东南侧,11868132,13187,903.99,88.25,260055,26036,88,980752,11167.75
2003,河北省,石家庄市,130000,130100,东南侧,13779438,15188,910.51,88.27,262159,26196,87,1067432,12306.11
2004,河北省,石家庄市,130000,130100,东南侧,16334594,17871,917.55,87.28,271266,27438,86,1171690,13602.16
2005,河北省,石家庄市,130000,130100,东南侧,17867750,18671,927.3,87.41,290313,28411,87,1327349,15239.37
2006,河北省,石家庄市,130000,130100,东南侧,20266320,21000,939.5,87.11,304669,22653,86,1459934,16911.09
2007,河北省,石家庄市,130000,130100,东南侧,23607230,24243,955.05,86.28,312980,31256,85,1708902,19991.83
2008,河北省,石家庄市,130000,130100,东南侧,28383712,28923,966.48,84.76,358973,35449,85,1944313,22745.82
2009,河北省,石家庄市,130000,130100,东南侧,30012797,30428,977.41,83.5,384003,50865,81,2208199,27369.84
2010,河北省,石家庄市,130000,130100,东南侧,34010186,33915,989.16,84.15,413548,50929,81,2539667,31458.78
2011,河北省,石家庄市,130000,130100,东南侧,40826833,39919,997.3,84.8,430246,50517,81,2852698,35131.75
2012,河北省,石家庄市,130000,130100,东南侧,45002098,43552,1005.3,90.7,456855,53394,87,3350362,38425.99
2013,河北省,石家庄市,130000,130100,东南侧,48636583,48491,1003.2,92.9,488101,53481,89,3890359,43653.04
2014,河北省,石家庄市,130000,130100,东南侧,51702653,48970,1024.9,100.563,615190,53409,96,4617708,48272.09
2015,河北省,石家庄市,130000,130100,东南侧,54405988,51043,1028.84,100.318,,53409,96,5231077,54441
2016,河北省,石家庄市,130000,130100,东南侧,59277293,55177,1038,99.542,,,91,5554609,61189
2017,河北省,石家庄市,130000,130100,东南侧,61770284,57024,973,91.612,1930987,51008,87,5908489,67880
2018,河北省,石家庄市,130000,130100,东南侧,60826180,55723,982,95.965,940079,51303,91,6870827,75114
2019,河北省,石家庄市,130000,130100,东南侧,58100000,52859,1052,106.938,2118137,54539,99,7852934,78937
2020,河北省,石家庄市,130000,130100,东南侧,59350000,52961,,105.039,,,97,8234817,84870
2021,河北省,石家庄市,130000,130100,东南侧,64900000,57830,1051,107.63,,,101,8963139,89065
2022,河北省,石家庄市,130000,130100,东南侧,71010000,63319,1054,103.706,,,98,9897290,
2023,河北省,石家庄市,130000,130100,东南侧,75340000,67099,,,,,,,
2024,河北省,石家庄市,130000,130100,东南侧,82030000,72984,,,,,,,
2000,河北省,唐山市,130000,130200,东南侧,9150473,,699.79,81.55,,31946,82,649353,7938
2001,河北省,唐山市,130000,130200,东南侧,10064571,14379,700.15,75.81,,31560,77,688789,8987.33
2002,河北省,唐山市,130000,130200,东南侧,11022878,15715,702.67,72.27,148200,38425,72,751444,10393.42
2003,河北省,唐山市,130000,130200,东南侧,12953220,18387,706.28,71.69,251678,44869,86,890722,10322.42
2004,河北省,唐山市,130000,130200,东南侧,16263343,22965,710.07,71.48,266069,42640,70,985594,14077.9
2005,河北省,唐山市,130000,130200,东南侧,20276374,28006,714.51,74.03,279131,46243,72,1233068,17104.56
2006,河北省,唐山市,130000,130200,东南侧,23621410,32429,719.12,75.16,302475,53498,73,1417362,19539.04
2007,河北省,唐山市,130000,130200,东南侧,27794190,37765,724.66,77.11,326966,54282,74,1724473,23178.4
2008,河北省,唐山市,130000,130200,东南侧,35611900,48054,729.41,77.84,355789,56256,72,2116689,29422.98
2009,河北省,唐山市,130000,130200,东南侧,38127192,51179,733.9,81.83,430503,58178,74,2481815,33330.85
2010,河北省,唐山市,130000,130200,东南侧,44691588,59389,735,84.02,399787,57885,76,2844073,37230.96
2011,河北省,唐山市,130000,130200,东南侧,54424541,71565,737.1,87.3,363752,57885,79,3315279,42029.4
2012,河北省,唐山市,130000,130200,东南侧,58616363,76643,741.8,95.6,441626,59545,95,4302278,45230
2013,河北省,唐山市,130000,130200,东南侧,61212139,82831,738.7,96.7,412232,61000,85,4120332,48270.06
2014,河北省,唐山市,130000,130200,东南侧,62253023,80450,753.2,93.656,425260,66922,84,4309154,51214.1
2015,河北省,唐山市,130000,130200,东南侧,61030601,78398,754.96,89.436,603783,67464,81,4521743,55565
2016,河北省,唐山市,130000,130200,东南侧,63548675,81239,760,88.069,622669,67327,78,4769279,59623
2017,河北省,唐山市,130000,130200,东南侧,65301459,82972,755,76.138,458855,44246,67,4574185,66843
2018,河北省,唐山市,130000,130200,东南侧,69549700,87855,758,78.602,459916,36026,69,5261385,74569
2019,河北省,唐山市,130000,130200,东南侧,68900000,86667,756,77.921,1074677,39008,73,5698550,77990
2020,河北省,唐山市,130000,130200,东南侧,72110000,93470,,77.18,,,73,6049243,82483
2021,河北省,唐山市,130000,130200,东南侧,82310000,106784,751,77.223,,,72,6483547,90049
2022,河北省,唐山市,130000,130200,东南侧,89010000,115571,751,73.935,,,71,6799202,
2023,河北省,唐山市,130000,130200,东南侧,91330000,118418,,,,,,,
2024,河北省,唐山市,130000,130200,东南侧,100040000,129565,,,,,,,
2000,河北省,秦皇岛市,130000,130300,东南侧,2853937,,266.29,31.59,,12075,32,300865,9434
2001,河北省,秦皇岛市,130000,130300,东南侧,3073141,11500,268.2,30.73,,12080,31,330058,10616.21
2002,河北省,秦皇岛市,130000,130300,东南侧,3356576,12463,270.46,29.31,115400,12082,30,361813,12256.54
2003,河北省,秦皇岛市,130000,130300,东南侧,3870301,14236,273.29,28.65,143847,15543,29,384841,13479.54
2004,河北省,秦皇岛市,130000,130300,东南侧,4534443,16515,275.82,28.35,176772,15547,28,445272,15840.34
2005,河北省,秦皇岛市,130000,130300,东南侧,4911470,17171,278.64,27.93,176480,16915,28,496353,17526.59
2006,河北省,秦皇岛市,130000,130300,东南侧,5520509,19745,280.54,28.36,183373,16133,28,556839,19648.52
2007,河北省,秦皇岛市,130000,130300,东南侧,6835782,23330,283.31,28.09,178191,17807,28,645925,22832.27
2008,河北省,秦皇岛市,130000,130300,东南侧,8089526,27481,285.85,28.31,154173,19976,28,801661,29140.71
2009,河北省,秦皇岛市,130000,130300,东南侧,8045421,27110,287.24,28.64,179372,18539,27,874679,32228.41
2010,河北省,秦皇岛市,130000,130300,东南侧,9304969,31182,288.3,29.75,141100,18911,28,1002156,35829.67
2011,河北省,秦皇岛市,130000,130300,东南侧,10700808,35691,289.8,29.88,147600,20170,30,1111388,37195.05
2012,河北省,秦皇岛市,130000,130300,东南侧,11393664,37804,291.2,33.5,139586,22389,31,1414920,45686.79
2013,河北省,秦皇岛市,130000,130300,东南侧,11687549,39889,292.7,34.2,151803,37199,31,1496108,48308.3
2014,河北省,秦皇岛市,130000,130300,东南侧,12000219,39282,295.1,33.868,165432,23249,31,1641605,52497.76
2015,河北省,秦皇岛市,130000,130300,东南侧,12504439,40746,295.64,32.844,179460,24095,32,1749277,57451
2016,河北省,秦皇岛市,130000,130300,东南侧,13493526,73755,298,32.478,179700,21562,31,1919216,61988
2017,河北省,秦皇岛市,130000,130300,东南侧,15003351,48356,298,29.285,315361,23529,27,1880620,70753
2018,河北省,秦皇岛市,130000,130300,东南侧,16355631,52380,300,28.354,339122,23654,26,1978220,75131
2019,河北省,秦皇岛市,130000,130300,东南侧,16120000,51334,301,27.556,530498,17742,25,2037878,80184
2020,河北省,秦皇岛市,130000,130300,东南侧,16860000,53821,,27.998,,,26,2231259,85609
2021,河北省,秦皇岛市,130000,130300,东南侧,18440000,58774,300,27.764,,,27,2385882,89852
2022,河北省,秦皇岛市,130000,130300,东南侧,19100000,61277,300,27.084,,,26,2579860,
2023,河北省,秦皇岛市,130000,130300,东南侧,20010000,64491,,,,,,,
2024,河北省,秦皇岛市,130000,130300,东南侧,21290000,68456,,,,,,,
2000,河北省,邯郸市,130000,130400,东南侧,5423546,,838.48,67.32,,25800,66,462871,6967
2001,河北省,邯郸市,130000,130400,东南侧,5916767,7032,844.33,65.04,,34300,64,503112,7882.06
2002,河北省,邯郸市,130000,130400,东南侧,6531664,7710,849.93,62.27,135100,38800,62,556806,9024.41
2003,河北省,邯郸市,130000,130400,东南侧,7625607,8934,857.09,60.38,104842,39842,59,592268,10041.84
2004,河北省,邯郸市,130000,130400,东南侧,9364918,10887,863.35,58.74,418382,37394,58,686492,11928.62
2005,河北省,邯郸市,130000,130400,东南侧,11572862,13410,871.43,58.01,434232,39750,57,785301,13774.79
2006,河北省,邯郸市,130000,130400,东南侧,13594576,15642,884.12,59.36,456232,39305,58,885114,15361.23
2007,河北省,邯郸市,130000,130400,东南侧,16081303,18406,896.36,57.45,483832,40920,56,1023689,18215.11
2008,河北省,邯郸市,130000,130400,东南侧,19903633,22651,928.08,55.95,511032,43370,53,1246600,23654.65
2009,河北省,邯郸市,130000,130400,东南侧,20152800,22779,942.77,54.85,523600,47495,52,1435300,27617.86
2010,河北省,邯郸市,130000,130400,东南侧,23615569,26143,963.5,56.57,539474,50482,52,1660272,32126.01
2011,河北省,邯郸市,130000,130400,东南侧,27890278,30270,980,58.44,651367,52900,52,1882913,36119.57
2012,河北省,邯郸市,130000,130400,东南侧,30242864,32650,993.1,64.5,671128,54743,57,2151234,37987.53
2013,河北省,邯郸市,130000,130400,东南侧,30615043,30800,994,80.4,1214700,51786,75,2919866,39040.86
2014,河北省,邯郸市,130000,130400,东南侧,30800054,32943,1029.5,80.487,1212700,53508,70,2901676,41422.93
2015,河北省,邯郸市,130000,130400,东南侧,31454319,33450,1049.7,77.169,1296879,59229,72,3330996,46650
2016,河北省,邯郸市,130000,130400,东南侧,33370903,35265,1055,76.098,1303848,63100,70,3563600,50847
2017,河北省,邯郸市,130000,130400,东南侧,33795261,35567,1051,60.129,679330,61551,55,3227573,58917
2018,河北省,邯郸市,130000,130400,东南侧,34545705,36289,1058,62.506,486782,64123,56,3514731,62696
2019,河北省,邯郸市,130000,130400,东南侧,34860000,36546,1061,62.134,1094431,65565,56,3750770,66540
2020,河北省,邯郸市,130000,130400,东南侧,36370000,38623,,56.287,,,52,3676150,71148
2021,河北省,邯郸市,130000,130400,东南侧,41150000,43817,1061,51.723,,,49,3733252,76316
2022,河北省,邯郸市,130000,130400,东南侧,43460000,46615,1064,58.57,,,54,4625003,
2023,河北省,邯郸市,130000,130400,东南侧,43820000,47493,,,,,,,
2024,河北省,邯郸市,130000,130400,东南侧,47040000,51258,,,,,,,
2000,河北省,邢台市,130000,130500,东南侧,3703839,,658.94,39.73,,13800,40,271121,6807
2001,河北省,邢台市,130000,130500,东南侧,4063406,6155,661.36,37.32,,6779,37,283422,7752.24
2002,河北省,邢台市,130000,130500,东南侧,4394074,6632,663.83,34.69,57933,12700,34,310815,9147
2003,河北省,邢台市,130000,130500,东南侧,5146061,7731,667.44,33.94,156100,17050,33,331694,10100.3
2004,河北省,邢台市,130000,130500,东南侧,6355770,9491,671.97,33.02,342000,18500,33,383458,11715.8
2005,河北省,邢台市,130000,130500,东南侧,6807485,10041,675.08,32.42,239419,21440,32,431166,13545.9
2006,河北省,邢台市,130000,130500,东南侧,7909297,11598,683.3,32.89,261320,22810,32,486385,15166.35
2007,河北省,邢台市,130000,130500,东南侧,8907487,12978,694.68,32.94,289314,20800,32,588809,18189.96
2008,河北省,邢台市,130000,130500,东南侧,9890039,14315,706.36,33.43,307067,21890,32,713116,22545.56
2009,河北省,邢台市,130000,130500,东南侧,10562913,15174,718.63,34.4,327702,20080,32,828181,25904.94
2010,河北省,邢台市,130000,130500,东南侧,12120943,17189,732.03,35.08,352232,21110,35,985490,28156.86
2011,河北省,邢台市,130000,130500,东南侧,14289231,20027,736.9,35.99,377507,21024,33,1150775,34829.75
2012,河北省,邢台市,130000,130500,东南侧,15320620,21361,747.7,44.9,403956,22465,40,1533595,37932.1
2013,河北省,邢台市,130000,130500,东南侧,16045756,21030,762.9,45.7,452928,19038,42,1671682,39707.41
2014,河北省,邢台市,130000,130500,东南侧,16469408,22758,772.9,46.072,482817,20852,42,1743361,41194.73
2015,河北省,邢台市,130000,130500,东南侧,17647323,24256,780.39,44.974,499567,20654,42,1968221,46944
2016,河北省,邢台市,130000,130500,东南侧,19757460,27038,788,44.841,524573,20102,42,2109627,50205
2017,河北省,邢台市,130000,130500,东南侧,20906243,28499,790,35.006,562372,19427,33,1959458,59431
2018,河北省,邢台市,130000,130500,东南侧,21507611,29210,797,37.31,,20739,33,2167747,65235
2019,河北省,邢台市,130000,130500,东南侧,21200000,28707,801,39.884,707889,19393,37,2517326,67415
2020,河北省,邢台市,130000,130500,东南侧,22000000,30909,,39.836,,,37,2585560,70311
2021,河北省,邢台市,130000,130500,东南侧,24270000,34193,800,40.9,,,38,2830074,73967
2022,河北省,邢台市,130000,130500,东南侧,25470000,36091,802,40.038,,,37,2901657,
2023,河北省,邢台市,130000,130500,东南侧,25860000,36994,,,,,,,
2024,河北省,邢台市,130000,130500,东南侧,27660000,39989,,,,,,,
2000,河北省,保定市,130000,130600,东南侧,7022238,,1055.17,65.11,,14927,64,482555,7543
2001,河北省,保定市,130000,130600,东南侧,7473056,7058,1062.43,64.1,,14575,62,516169,8271.94
2002,河北省,保定市,130000,130600,东南侧,8234564,7723,1070.13,62.38,208453,12725,60,582881,9695.29
2003,河北省,保定市,130000,130600,东南侧,9248071,8614,1076.98,62.58,255227,27649,59,626501,10584.58
2004,河北省,保定市,130000,130600,东南侧,11108786,10261,1088.28,62.79,334978,27341,59,701617,11875.71
2005,河北省,保定市,130000,130600,东南侧,10721423,10020,1092.17,63.16,305442,30767,59,789430,13274.42
2006,河北省,保定市,130000,130600,东南侧,11999550,11146,1106.08,65.13,318206,37662,60,896251,14977.46
2007,河北省,保定市,130000,130600,东南侧,13751799,12703,1123.43,65.58,344244,39269,62,1101967,17891.98
2008,河北省,保定市,130000,130600,东南侧,15808884,14518,1141.73,68.14,319140,39684,61,1327667,21765.03
2009,河北省,保定市,130000,130600,东南侧,17300023,15770,1155.28,67.5,336409,42308,59,1484579,24967.69
2010,河北省,保定市,130000,130600,东南侧,20503000,18451,1161.01,70.44,336224,42605,61,1721409,28090.88
2011,河北省,保定市,130000,130600,东南侧,24499000,21796,1160.7,81.21,347873,42200,69,2240072,32277.69
2012,河北省,保定市,130000,130600,东南侧,27209000,24053,1172.1,101,376720,47228,90,3127206,34913.54
2013,河北省,保定市,130000,130600,东南侧,29043115,24951,1163.9,99.9,414377,47000,81,3201275,39678.67
2014,河北省,保定市,130000,130600,东南侧,30352036,26501,1196.6,105.701,426396,47966,93,3993445,43046.73
2015,河北省,保定市,130000,130600,东南侧,30003400,29067,1202.19,99.83,454436,50019,86,4354366,50477
2016,河北省,保定市,130000,130600,东南侧,34771269,29992,1207,100.598,592158,53900,91,4953597,54395
2017,河北省,保定市,130000,130600,东南侧,34497444,29580,1199,74.381,570674,43820,67,4495528,63835
2018,河北省,保定市,130000,130600,东南侧,35897885,31057,1208,79.703,818041,50509,76,4980716,66548
2019,河北省,保定市,130000,130600,东南侧,37720000,31856,1215,81.757,1207604,48052,71,5080944,71315
2020,河北省,保定市,130000,130600,东南侧,39540000,34269,,75.159,,,69,5194756,75635
2021,河北省,保定市,130000,130600,东南侧,44020000,38157,1208,76.073,,,70,5726743,81454
2022,河北省,保定市,130000,130600,东南侧,46080000,40038,1211,80.254,,,71,6146799,
2023,河北省,保定市,130000,130600,东南侧,48250000,41990,,,,,,,
2024,河北省,保定市,130000,130600,东南侧,47730000,47830,,,,,,,
2000,河北省,张家口市,130000,130700,东南侧,2439319,,449.79,42.76,,13300,44,293735,6712
2001,河北省,张家口市,130000,130700,东南侧,2580246,5742,448.94,40.67,,14425,41,320586,7805.84
2002,河北省,张家口市,130000,130700,东南侧,2783715,6190,450.54,38.33,166478,14157,39,348207,8960.55
2003,河北省,张家口市,130000,130700,东南侧,3199369,7102,450.41,37.01,169024,16632,37,388256,10496.24
2004,河北省,张家口市,130000,130700,东南侧,4001082,8889,449.82,36.15,191403,27100,36,441873,12342.82
2005,河北省,张家口市,130000,130700,东南侧,4157878,9947,450.29,35.35,210534,46000,35,471850,13504.58
2006,河北省,张家口市,130000,130700,东南侧,4841665,11580,453.61,35.42,237094,48611,35,534608,15335.86
2007,河北省,张家口市,130000,130700,东南侧,5663192,13520,457.18,33.37,256696,31000,34,637012,18919.28
2008,河北省,张家口市,130000,130700,东南侧,7203705,17134,459.67,32.71,268355,31409,32,752793,23598.53
2009,河北省,张家口市,130000,130700,东南侧,8003407,18948,462.31,32.21,288473,32244,31,832444,26680.9
2010,河北省,张家口市,130000,130700,东南侧,9664158,22517,465.97,33.72,315600,32652,32,990466,30588.82
2011,河北省,张家口市,130000,130700,东南侧,11186100,25649,467.4,37.3,330400,34596,35,1162274,33437.11
2012,河北省,张家口市,130000,130700,东南侧,12335529,28139,468.4,40.3,338500,30393,36,1290823,35658.09
2013,河北省,张家口市,130000,130700,东南侧,13169971,28201,466.9,39,,37600,37,1334768,36290.59
2014,河北省,张家口市,130000,130700,东南侧,13489726,30540,468.6,38.063,499730,40124,36,1433356,39399.56
2015,河北省,张家口市,130000,130700,东南侧,13635443,30840,469.01,37.608,47684,33425,36,1741144,48892
2016,河北省,张家口市,130000,130700,东南侧,14659911,33142,470,36.96,49973,39522,35,1809067,52277
2017,河北省,张家口市,130000,130700,东南侧,14270162,32219,465,31.822,357597,36879,28,1777275,63976
2018,河北省,张家口市,130000,130700,东南侧,15366202,34661,465,32.588,422901,36492,29,1984637,69520
2019,河北省,张家口市,130000,130700,东南侧,15510000,35025,465,35.395,634615,36397,32,2281934,70937
2020,河北省,张家口市,130000,130700,东南侧,16000000,38637,,34.732,,,32,2393062,73958
2021,河北省,张家口市,130000,130700,东南侧,17280000,42049,458,34.161,,,32,2475485,77528
2022,河北省,张家口市,130000,130700,东南侧,17750000,43435,457,33.409,,,32,2711618,
2023,河北省,张家口市,130000,130700,东南侧,18430000,45360,,,,,,,
2024,河北省,张家口市,130000,130700,东南侧,19130000,47344,,,,,,,
2000,河北省,承德市,130000,130800,东南侧,1630258,,353.87,27.48,,6614,28,198636,7168
2001,河北省,承德市,130000,130800,东南侧,1824136,5143,355.47,26.32,,7900,26,215876,8149.34
2002,河北省,承德市,130000,130800,东南侧,2000110,5608,357.85,24.33,85284,7518,25,239145,9542.9
2003,河北省,承德市,130000,130800,东南侧,2349782,6555,359.06,23.45,157920,9300,24,257520,10761.39
2004,河北省,承德市,130000,130800,东南侧,3006156,8352,360.82,22.86,111592,9725,23,299430,12917.6
2005,河北省,承德市,130000,130800,东南侧,3602892,10723,361.28,23.54,98062,16080,24,331632,13899.08
2006,河北省,承德市,130000,130800,东南侧,4279969,12688,363.71,23.77,97078,19626,24,362027,14978.36
2007,河北省,承德市,130000,130800,东南侧,5535406,16377,366.89,24.18,105838,20857,24,462124,18962.82
2008,河北省,承德市,130000,130800,东南侧,7149413,21048,369.38,24.83,111449,23833,25,604990,24209.28
2009,河北省,承德市,130000,130800,东南侧,7601136,22198,371.91,25.42,125168,24648,25,675611,26725.12
2010,河北省,承德市,130000,130800,东南侧,8889619,25699,372.96,25.72,132579,24604,25,747026,29964.94
2011,河北省,承德市,130000,130800,东南侧,11042013,31705,374.3,25.44,146477,18367,24,835331,34136.94
2012,河北省,承德市,130000,130800,东南侧,11819213,33791,376.9,26.4,156607,19408,28,953043,34605.77
2013,河北省,承德市,130000,130800,东南侧,12720917,33653,378.1,30.3,177657,19100,28,1170657,42323.1
2014,河北省,承德市,130000,130800,东南侧,13425500,38128,380.7,29.92,204732,18481,27,1204960,44512.74
2015,河北省,承德市,130000,130800,东南侧,13587278,38505,382.35,29.937,227059,19124,28,1373705,49071
2016,河北省,承德市,130000,130800,东南侧,14385741,40741,383,29.625,244539,19146,27,1442875,53449
2017,河北省,承德市,130000,130800,东南侧,14654537,41299,380,26.601,263418,22761,23,1408334,60270
2018,河北省,承德市,130000,130800,东南侧,14815102,41476,382,26.692,281334,23732,24,1586455,65558
2019,河北省,承德市,130000,130800,东南侧,14710000,41080,383,27.092,420416,22209,25,1763255,69365
2020,河北省,承德市,130000,130800,东南侧,15500000,46119,,27.36,,,25,1864667,73929
2021,河北省,承德市,130000,130800,东南侧,16970000,50749,379,26.019,,,24,2016684,82769
2022,河北省,承德市,130000,130800,东南侧,17800000,53482,379,26.409,,,25,2307159,
2023,河北省,承德市,130000,130800,东南侧,18520000,55915,,,,,,,
2024,河北省,承德市,130000,130800,东南侧,19630000,59583,,,,,,,
2000,河北省,沧州市,130000,130900,东南侧,4613449,,668.97,41.64,,8800,41,375752,9201
2001,河北省,沧州市,130000,130900,东南侧,4872054,7258,673.55,40.83,,9184,40,296373,7452.18
2002,河北省,沧州市,130000,130900,东南侧,5313289,8065,677.42,40.14,233100,8783,39,344398,8842.05
2003,河北省,沧州市,130000,130900,东南侧,6288615,9496,680.17,39,365782,15470,38,371909,9746.04
2004,河北省,沧州市,130000,130900,东南侧,7741155,11659,679.36,39.05,219984,15873,38,424512,11209.72
2005,河北省,沧州市,130000,130900,东南侧,11307973,16581,684.75,46.35,242000,15682,46,663245,14487.66
2006,河北省,沧州市,130000,130900,东南侧,12816666,18658,690.85,46.22,259000,17651,46,773233,16968.03
2007,河北省,沧州市,130000,130900,东南侧,14653827,21205,700.2,45.51,277580,18200,45,932916,20708.46
2008,河北省,沧州市,130000,130900,东南侧,17161616,24665,710.1,46.17,303235,22000,42,1065161,25270.72
2009,河北省,沧州市,130000,130900,东南侧,18012287,25719,717.5,43.23,317300,20916,40,1484579,37133.04
2010,河北省,沧州市,130000,130900,东南侧,22031199,31091,730.89,43.7,328100,18919,39,1302762,33014.75
2011,河北省,沧州市,130000,130900,东南侧,25851998,36053,734.8,48.58,372000,23117,44,1598219,36199.75
2012,河北省,沧州市,130000,130900,东南侧,28124212,38949,744.4,52.4,377600,23720,46,1848340,40356.77
2013,河北省,沧州市,130000,130900,东南侧,30129850,39960,754.3,52.4,385120,24435,49,2110744,43475.67
2014,河北省,沧州市,130000,130900,东南侧,31333822,42676,768.4,53.066,405800,23594,46,2218514,48082.23
2015,河北省,沧州市,130000,130900,东南侧,33206328,44819,774.36,52.572,430127,23694,48,2633671,54779
2016,河北省,沧州市,130000,130900,东南侧,35446800,47425,780,51.889,451990,22534,47,2745897,58122
